ingreso_laboral,horas_trabajadas_semana,empleos_previos,sector_laboral,satisfaccion_laboral
4319775.0,47.1,2,Tecnología,Satisfecho
1101610.0,47.8,4,Comercio,Neutral
1467468.0,42.0,4,Industria,Neutral
3844108.0,60.2,5,Comercio,Neutral
4917258.0,40.4,0,Servicios,Muy satisfecho
3621022.0,46.8,2,Comercio,Satisfecho
2878100.0,37.4,6,Industria,Muy satisfecho
8318546.0,41.0,2,Industria,Muy satisfecho
6404155.0,53.8,3,Tecnología,Muy satisfecho
6778708.0,35.7,4,Tecnología,Muy satisfecho
4528932.0,60.5,6,Tecnología,Neutral
2849701.0,50.0,1,Servicios,Muy satisfecho
1645278.0,45.6,1,Industria,Neutral
8108270.0,46.3,0,Servicios,Satisfecho
2660869.0,38.1,6,Servicios,Satisfecho
2249799.0,35.7,1,Servicios,Satisfecho
3253521.0,48.1,2,Sector público,Satisfecho
2248842.0,38.2,2,Servicios,Neutral
1783871.0,38.4,5,Servicios,Satisfecho
4383072.0,52.7,1,Tecnología,Muy satisfecho
