valor_inventario,tiempo_reposicion_dias,numero_quiebres_stock,categoria_producto,nivel_rotacion
24030045.0,9.3,3,Hogar,Media
28793688.0,10.8,4,Tecnología,Media
26094689.0,4.4,6,Alimentos,Media
21633962.0,6.9,4,Hogar,Media
26921864.0,8.8,5,Alimentos,Media
50172480.0,13.4,0,Tecnología,Media
35682595.0,9.9,4,Tecnología,Media
10873142.0,4.2,1,Aseo,Muy alta
11464320.0,5.6,2,Alimentos,Alta
12329062.0,6.6,0,Aseo,Alta
17126225.0,6.5,0,Aseo,Alta
26763046.0,8.0,3,Hogar,Media
15991822.0,6.2,3,Alimentos,Alta
35559148.0,10.2,4,Tecnología,Media
28664499.0,10.6,0,Aseo,Alta
31475999.0,7.8,3,Hogar,Media
25146068.0,5.3,1,Alimentos,Alta
31949926.0,7.9,1,Hogar,Alta
7723051.0,4.6,5,Alimentos,Media
16227141.0,6.5,4,Alimentos,Media
18983061.0,6.5,4,Hogar,Media
14035476.0,6.5,1,Alimentos,Alta
23586848.0,3.4,3,Hogar,Alta
27165963.0,6.0,0,Hogar,Alta
34396676.0,12.8,2,Tecnología,Media
13361239.0,6.5,4,Alimentos,Media
21934261.0,9.4,2,Hogar,Media
16131305.0,9.2,4,Aseo,Media
8075439.0,1.3,6,Alimentos,Alta
3955013.0,4.6,3,Aseo,Alta
12614604.0,2.7,4,Alimentos,Alta
14352607.0,4.9,6,Alimentos,Media
11205845.0,4.1,5,Alimentos,Media
10295022.0,6.1,6,Alimentos,Media
29662307.0,11.6,2,Tecnología,Media
10026750.0,4.2,2,Alimentos,Alta
26365457.0,13.9,1,Tecnología,Media
18936253.0,4.1,2,Hogar,Alta
21898261.0,2.9,5,Alimentos,Alta
20922405.0,4.2,6,Alimentos,Media
14478181.0,3.9,3,Alimentos,Alta
23483754.0,7.3,4,Hogar,Media
17116221.0,7.7,1,Aseo,Alta
22010541.0,2.0,7,Alimentos,Media
37253496.0,10.0,1,Tecnología,Alta
30192706.0,9.2,3,Tecnología,Media
12815810.0,7.8,2,Hogar,Alta
18414192.0,3.1,4,Alimentos,Alta
45122904.0,11.1,2,Tecnología,Media
15976763.0,11.1,2,Hogar,Media
43836056.0,9.0,2,Tecnología,Media
8584298.0,10.7,2,Hogar,Media
20517863.0,2.6,4,Alimentos,Alta
14494745.0,6.8,1,Tecnología,Alta
23647928.0,6.2,2,Hogar,Alta
16899311.0,1,3,Alimentos,Alta
19109840.0,8.8,1,Hogar,Alta
14491689.0,5.8,4,Aseo,Media
17059463.0,9.0,3,Hogar,Media
9615412.0,5.4,3,Aseo,Alta
10173064.0,4.0,4,Aseo,Alta
13924309.0,10.3,2,Aseo,Media
18993539.0,5.3,3,Hogar,Alta
37648741.0,8.1,3,Tecnología,Media
18062233.0,3.2,0,Aseo,Muy alta
19077292.0,6.0,3,Alimentos,Alta
15968851.0,5.1,0,Aseo,Muy alta
7626494.0,5.7,2,Aseo,Alta
34897597.0,10.2,0,Tecnología,Alta
13691717.0,10.4,0,Tecnología,Alta
12392678.0,6.5,2,Hogar,Alta
18611700.0,2.3,4,Alimentos,Alta
19251500.0,5.4,5,Aseo,Media
11453853.0,3.6,6,Alimentos,Media
30325357.0,7.0,3,Hogar,Media
25199660.0,8.1,2,Aseo,Alta
37159279.0,10.9,3,Tecnología,Media
18666440.0,4.9,5,Alimentos,Media
15640025.0,6.7,4,Alimentos,Media
17312006.0,6.5,5,Alimentos,Media
14593686.0,9.1,2,Hogar,Media
13445285.0,2.3,2,Alimentos,Muy alta
20306375.0,10.9,2,Hogar,Media
36631909.0,8.6,0,Tecnología,Alta
10422793.0,6.7,3,Alimentos,Alta
13884823.0,1,2,Alimentos,Muy alta
19214393.0,10.2,2,Tecnología,Media
10765749.0,7.3,2,Aseo,Alta
19949823.0,2.4,3,Alimentos,Alta
21092554.0,8.2,0,Hogar,Alta
12784690.0,2.8,3,Alimentos,Alta
10360073.0,6.0,5,Aseo,Media
16160011.0,5.7,6,Alimentos,Media
28129240.0,11.5,2,Tecnología,Media
33927697.0,8.6,3,Hogar,Media
12392915.0,3.6,3,Hogar,Alta
26155387.0,5.2,4,Alimentos,Media
9881843.0,7.2,1,Aseo,Alta
32379661.0,11.3,2,Tecnología,Media
22488597.0,9.6,0,Hogar,Alta
12878188.0,10.6,0,Hogar,Alta
31785270.0,11.0,0,Tecnología,Alta
17181691.0,9.5,1,Aseo,Alta
24370315.0,6.1,5,Hogar,Media
20038047.0,6.7,0,Aseo,Alta
17871913.0,4.7,2,Alimentos,Alta
28711402.0,10.1,2,Hogar,Media
21019802.0,5.5,0,Hogar,Muy alta
20947181.0,1.6,4,Alimentos,Alta
14389221.0,5.9,4,Alimentos,Media
13945369.0,4.6,0,Aseo,Muy alta
24312351.0,11.9,2,Tecnología,Media
13843544.0,3.3,2,Alimentos,Alta
37432038.0,10.9,2,Hogar,Media
15202299.0,1.9,1,Alimentos,Muy alta
26266644.0,9.4,0,Tecnología,Alta
13833868.0,6.7,4,Hogar,Media
18225270.0,7.2,4,Hogar,Media
10092826.0,5.8,2,Aseo,Alta
18746412.0,3.4,2,Alimentos,Alta
18856168.0,5.5,4,Alimentos,Media
20082889.0,1,6,Alimentos,Alta
21606590.0,12.9,5,Tecnología,Baja
32670227.0,4.6,0,Tecnología,Muy alta
14035755.0,5.0,6,Alimentos,Media
10162591.0,5.5,6,Alimentos,Media
9906807.0,6.4,1,Aseo,Alta
22471199.0,4.7,4,Alimentos,Alta
18278428.0,8.1,3,Aseo,Media
21573000.0,5.8,6,Alimentos,Media
24570820.0,10.3,4,Hogar,Media
49130179.0,11.8,0,Tecnología,Alta
12190276.0,2.5,2,Alimentos,Muy alta
