consumo_energia_kwh,costo_energia,numero_incidentes_ambientales,area_operativa,nivel_eficiencia_ambiental
1581.4,1093693.0,0,Administración,Alta
2145.6,1476803.0,1,Administración,Media
1371.9,987758.0,1,Comercial,Alta
7099.0,4902342.0,3,Producción,Muy baja
1514.8,1050706.0,0,Comercial,Alta
4180.5,3045155.0,4,Producción,Alta
3496.0,2643949.0,2,Logística,Media
1204.6,788070.0,1,Administración,Muy alta
3283.1,2321052.0,3,Logística,Media
4572.1,3085022.0,4,Logística,Muy baja
6534.5,4241104.0,4,Producción,Muy baja
1839.9,1158361.0,2,Administración,Media
1886.8,1170993.0,1,Comercial,Baja
845.9,558065.0,2,Comercial,Muy alta
3715.5,2791632.0,4,Producción,Alta
6650.3,4859584.0,2,Producción,Baja
5635.6,4115277.0,6,Producción,Baja
6183.2,4022809.0,4,Producción,Baja
1979.1,1420694.0,2,Logística,Muy alta
3809.0,2684650.0,3,Logística,Media
3907.3,2770533.0,2,Logística,Media
7760.0,5268828.0,2,Producción,Muy baja
1277.4,908788.0,0,Comercial,Alta
2412.2,1530795.0,2,Logística,Muy alta
1541.1,1109151.0,0,Comercial,Alta
1642.1,1172570.0,1,Comercial,Media
958.7,674132.0,0,Comercial,Muy alta
5374.9,4128262.0,2,Producción,Media
5375.4,3466596.0,3,Producción,Media
7526.1,5109510.0,2,Producción,Muy baja
4985.7,3468340.0,2,Producción,Media
1361.2,983706.0,1,Comercial,Alta
4123.4,3132614.0,2,Logística,Media
645.0,468389.0,1,Comercial,Muy alta
3483.4,2542045.0,5,Producción,Alta
3592.5,2426598.0,4,Logística,Media
