ingresos_mensuales,costos_operativos,numero_empleados,sector_economico,nivel_formalizacion
17458701.0,15661052.0,6,Servicios,En transición
16973901.0,10518413.0,4,Servicios,En transición
26886811.0,21625451.0,8,Comercio,En transición
12235385.0,8287273.0,4,Comercio,Formal básica
24583869.0,15159766.0,9,Manufactura,En transición
18381918.0,13459219.0,3,Comercio,En transición
55349432.0,35503284.0,5,Manufactura,Formal básica
28008480.0,21942686.0,4,Comercio,Informal
25492800.0,16829690.0,7,Agroindustria,Formal básica
59219479.0,41426557.0,9,Comercio,Formal básica
43901502.0,28721333.0,7,Manufactura,Formal básica
30990318.0,20993593.0,2,Comercio,En transición
9553400.0,9344353.0,9,Agroindustria,Formal básica
15153736.0,10609870.0,4,Servicios,En transición
16561722.0,14211237.0,8,Comercio,En transición
33286966.0,22549161.0,3,Comercio,Informal
20951489.0,14617127.0,5,Comercio,En transición
19549932.0,13537773.0,4,Servicios,En transición
24992497.0,17729079.0,3,Servicios,Informal
29145267.0,26189717.0,9,Comercio,Formal básica
13861553.0,9152781.0,6,Servicios,En transición
11629138.0,7067476.0,5,Manufactura,En transición
62998271.0,50836832.0,4,Comercio,En transición
17428134.0,11643849.0,5,Servicios,Informal
22496149.0,18785676.0,6,Servicios,En transición
20241668.0,12984975.0,7,Manufactura,En transición
20816774.0,17448651.0,8,Servicios,Formal básica
18990391.0,14661580.0,3,Agroindustria,En transición
19914523.0,10141766.0,2,Servicios,Informal
15042343.0,13951686.0,9,Comercio,Informal
21956149.0,14931781.0,6,Servicios,En transición
10810043.0,9812959.0,5,Servicios,Formal básica
24754060.0,23225169.0,8,Comercio,Informal
25708125.0,18936781.0,7,Servicios,En transición
37856212.0,26707801.0,5,Comercio,En transición
18878277.0,10758520.0,4,Manufactura,En transición
18643245.0,15886805.0,6,Servicios,Formal básica
32943625.0,24600502.0,2,Comercio,Informal
19287835.0,13807814.0,7,Agroindustria,En transición
12484009.0,9579780.0,9,Comercio,Informal
24925018.0,18432003.0,5,Comercio,Informal
37676701.0,22889454.0,3,Manufactura,En transición
14613757.0,13106575.0,4,Agroindustria,En transición
23826825.0,16892875.0,5,Comercio,En transición
13063476.0,9039656.0,5,Comercio,Informal
16904919.0,10036029.0,8,Comercio,En transición
23106900.0,14513094.0,8,Servicios,Informal
30239788.0,19625852.0,4,Manufactura,En transición
33818875.0,25457804.0,4,Manufactura,En transición
21356606.0,12264454.0,2,Agroindustria,En transición
19008132.0,13735091.0,4,Comercio,Formal básica
26580377.0,23063796.0,7,Comercio,En transición
46584393.0,31418631.0,5,Comercio,Formal básica
16493933.0,10061671.0,5,Servicios,Informal
37576477.0,20081184.0,5,Comercio,Formal básica
28239017.0,19493260.0,5,Comercio,Formal básica
32129343.0,21607277.0,8,Manufactura,Formal básica
55156400.0,33323155.0,4,Manufactura,Formal básica
22062923.0,19179191.0,7,Agroindustria,Formal básica
21961051.0,18585837.0,5,Servicios,En transición
16861786.0,14515471.0,4,Servicios,Formal básica
10144533.0,9366956.0,6,Servicios,Informal
12356559.0,8667183.0,2,Comercio,En transición
33485883.0,26155967.0,9,Servicios,Formal básica
20186610.0,16061440.0,6,Servicios,En transición
24467698.0,16197747.0,7,Servicios,Formal básica
52439142.0,38858303.0,4,Comercio,En transición
41558130.0,30178367.0,4,Comercio,En transición
20028697.0,14696230.0,4,Agroindustria,Formal básica
24350330.0,16903871.0,5,Agroindustria,En transición
27016798.0,25570178.0,12,Comercio,Formal consolidada
28166222.0,25809498.0,8,Comercio,En transición
19349429.0,14736379.0,3,Comercio,Informal
25023210.0,24787069.0,11,Servicios,Formal básica
21677945.0,17017480.0,8,Comercio,En transición
28354557.0,25367640.0,9,Manufactura,Formal básica
11289493.0,7107350.0,3,Comercio,Informal
42117872.0,30319241.0,4,Manufactura,En transición
13733559.0,12191532.0,4,Agroindustria,En transición
28087419.0,22553107.0,5,Servicios,En transición
27101802.0,16343203.0,5,Servicios,Informal
22557415.0,18500548.0,2,Comercio,Informal
10401449.0,6709160.0,4,Comercio,Formal básica
11114726.0,10385399.0,9,Servicios,Informal
32803578.0,20301755.0,10,Servicios,Formal básica
28531566.0,18452456.0,8,Comercio,En transición
40612285.0,31025140.0,5,Comercio,En transición
