ingresos_digitales,gasto_marketing,nuevos_clientes,plataforma_principal,nivel_crecimiento
16218117.0,6477905.0,39,Google,Moderado
8582102.0,4533028.0,21,Instagram,Negativo
14879379.0,4288219.0,53,TikTok,Acelerado
3917391.0,1899987.0,28,Instagram,Bajo
19113782.0,5384931.0,52,Instagram,Acelerado
5854539.0,2855990.0,40,Instagram,Moderado
8697177.0,2910430.0,44,TikTok,Alto
11056441.0,5057716.0,45,Google,Moderado
18044386.0,7314320.0,37,Google,Alto
8355959.0,2925828.0,50,TikTok,Alto
9780856.0,2327953.0,35,TikTok,Acelerado
24344024.0,7924921.0,26,Instagram,Alto
6784331.0,4081443.0,29,Instagram,Bajo
8611220.0,5189162.0,40,Instagram,Bajo
9215290.0,3417060.0,39,Instagram,Acelerado
17396017.0,4942961.0,45,Google,Acelerado
6772257.0,2080341.0,43,Google,Alto
9208078.0,4198683.0,42,Google,Alto
12842171.0,6465718.0,38,Marketplace,Bajo
20630537.0,5840207.0,47,TikTok,Alto
15685980.0,4321122.0,47,Google,Alto
14532148.0,5053072.0,44,Marketplace,Alto
12260806.0,3218263.0,46,Google,Acelerado
13991112.0,7805616.0,33,Google,Moderado
21116242.0,6170730.0,36,Google,Acelerado
11695636.0,4105354.0,52,TikTok,Moderado
17381374.0,5713843.0,58,TikTok,Acelerado
18947161.0,5862303.0,39,TikTok,Alto
14341864.0,4968606.0,41,Marketplace,Alto
12032148.0,8344230.0,49,TikTok,Bajo
21904352.0,7736486.0,32,Marketplace,Alto
22313191.0,7479799.0,35,Instagram,Alto
10655239.0,5387615.0,51,Instagram,Alto
12592512.0,6868760.0,53,TikTok,Alto
14462710.0,5236888.0,40,Instagram,Alto
7918170.0,3733747.0,48,Instagram,Moderado
10480347.0,4363566.0,29,Google,Alto
20603196.0,10151260.0,39,Instagram,Alto
9339711.0,4826680.0,55,TikTok,Moderado
9809404.0,4771647.0,56,Google,Alto
11550254.0,4469022.0,42,TikTok,Alto
6937384.0,4480003.0,47,Google,Moderado
11739711.0,3200824.0,41,Marketplace,Acelerado
15773482.0,4366086.0,36,Google,Alto
11558871.0,3187982.0,45,Instagram,Acelerado
7433836.0,2751916.0,38,Instagram,Alto
13210400.0,4701798.0,41,Instagram,Alto
6614893.0,2778320.0,39,Instagram,Alto
11704641.0,5269290.0,40,Instagram,Moderado
4517561.0,2227266.0,35,Marketplace,Bajo
11598897.0,4043785.0,40,TikTok,Alto
8833800.0,5159051.0,36,Instagram,Bajo
15166086.0,4431868.0,37,Marketplace,Moderado
9344148.0,3378775.0,43,Marketplace,Alto
5918129.0,3387330.0,31,Marketplace,Moderado
13538091.0,4485057.0,52,TikTok,Alto
22579274.0,8296333.0,39,Instagram,Alto
35020595.0,11544064.0,36,Instagram,Alto
11163140.0,3015851.0,35,TikTok,Acelerado
8314232.0,5685711.0,37,Marketplace,Moderado
11971384.0,5259383.0,36,TikTok,Moderado
11462788.0,6663182.0,36,Instagram,Moderado
22096383.0,6056820.0,51,Instagram,Alto
12063901.0,3262400.0,39,Marketplace,Alto
12327884.0,6943788.0,43,Marketplace,Moderado
6327764.0,3684362.0,40,Instagram,Bajo
26787915.0,8036745.0,50,Instagram,Acelerado
16659633.0,12206075.0,42,TikTok,Bajo
5446961.0,2870550.0,50,TikTok,Alto
12353638.0,5815235.0,34,Instagram,Moderado
9232468.0,2387483.0,36,Google,Alto
5825957.0,2172510.0,42,Instagram,Acelerado
17718252.0,6468665.0,42,Instagram,Alto
6420933.0,1978543.0,46,Google,Acelerado
12050444.0,6754982.0,29,Marketplace,Bajo
16086687.0,5813457.0,35,Marketplace,Moderado
12745556.0,6537683.0,48,TikTok,Moderado
18708436.0,8221558.0,44,TikTok,Moderado
14472994.0,4365512.0,51,TikTok,Acelerado
22017166.0,8585064.0,33,Instagram,Moderado
9085323.0,4095361.0,33,Instagram,Alto
14089415.0,7085043.0,35,Instagram,Moderado
10977914.0,3322338.0,48,Google,Acelerado
11541171.0,2848638.0,54,TikTok,Acelerado
11458117.0,5145882.0,41,TikTok,Moderado
10671182.0,4160155.0,37,Google,Moderado
7491204.0,2179932.0,30,Marketplace,Acelerado
17361163.0,4940789.0,45,TikTok,Alto
19426310.0,7307226.0,35,Marketplace,Moderado
5951977.0,2574589.0,60,Instagram,Acelerado
5449382.0,2162188.0,43,Google,Alto
18514133.0,5911762.0,31,Marketplace,Alto
9029357.0,3225802.0,32,Google,Alto
5360434.0,1685887.0,44,TikTok,Acelerado
15889166.0,7935953.0,39,Marketplace,Moderado
8459337.0,4236386.0,41,Google,Alto
11472990.0,3518218.0,40,Marketplace,Alto
9439419.0,2723429.0,33,Instagram,Alto
15678402.0,5476322.0,49,Google,Acelerado
14306856.0,6774379.0,35,Instagram,Bajo
25238212.0,8191649.0,43,TikTok,Alto
5064229.0,1477729.0,38,Google,Acelerado
9000515.0,2381899.0,41,Marketplace,Acelerado
9006119.0,5013921.0,40,TikTok,Alto
10282927.0,3162613.0,47,TikTok,Alto
9327650.0,3575496.0,41,Google,Alto
5854522.0,2170361.0,41,Google,Acelerado
15265178.0,4330201.0,34,Marketplace,Alto
11584376.0,3782114.0,35,Instagram,Alto
24856833.0,11329532.0,35,Google,Alto
8846649.0,3017062.0,37,Marketplace,Alto
21888612.0,8150454.0,46,Google,Alto
10776479.0,3476894.0,48,Marketplace,Alto
15033301.0,4426086.0,46,Google,Acelerado
6931307.0,4038694.0,34,TikTok,Moderado
6401288.0,2940169.0,40,Instagram,Alto
6269180.0,2677958.0,33,Instagram,Moderado
21279702.0,8311736.0,49,TikTok,Alto
5752637.0,1527567.0,32,Instagram,Alto
7087232.0,3523804.0,42,Google,Alto
11541637.0,4310291.0,32,Marketplace,Alto
11057732.0,4597848.0,48,Google,Alto
9263381.0,5122634.0,38,Marketplace,Moderado
17852353.0,7627293.0,40,Instagram,Bajo
7043005.0,3343214.0,40,Instagram,Moderado
15834319.0,5163391.0,49,Google,Acelerado
18773054.0,4936408.0,53,TikTok,Acelerado
5036775.0,2201346.0,41,Google,Moderado
11705805.0,6095827.0,43,Instagram,Bajo
13049260.0,5437048.0,52,Google,Alto
6564461.0,2226129.0,47,TikTok,Acelerado
22887609.0,6644993.0,37,Instagram,Alto
10793910.0,3847419.0,32,Instagram,Moderado
10643435.0,3208469.0,39,TikTok,Acelerado
14894223.0,4797862.0,45,Marketplace,Alto
8090619.0,3336931.0,23,Marketplace,Moderado
14041502.0,3567959.0,42,Instagram,Acelerado
9892286.0,5781779.0,44,TikTok,Moderado
6375591.0,3022905.0,36,Instagram,Alto
12375285.0,4092634.0,46,Google,Acelerado
9217860.0,3222032.0,44,TikTok,Acelerado
10958970.0,3570247.0,43,Instagram,Acelerado
6588611.0,2106364.0,36,Marketplace,Moderado
15430505.0,4940019.0,57,TikTok,Acelerado
9959077.0,4365014.0,50,TikTok,Alto
19827658.0,6721276.0,43,Google,Alto
