ventas_totales,ticket_promedio,clientes_atendidos,canal_venta,satisfaccion_cliente
8130265.0,116718.0,69,Aplicación,Neutral
7207355.0,117315.0,66,Aplicación,Satisfecho
6122827.0,102005.0,67,Página web,Satisfecho
6154703.0,133888.0,45,Aplicación,Muy satisfecho
8523892.0,117084.0,68,Página web,Satisfecho
7954724.0,116187.0,65,Página web,Satisfecho
7911884.0,132652.0,64,Tienda física,Muy satisfecho
9472377.0,122283.0,78,Tienda física,Muy satisfecho
5109199.0,113939.0,47,Aplicación,Satisfecho
5900880.0,97446.0,57,Aplicación,Neutral
7534615.0,110531.0,64,Tienda física,Neutral
8034991.0,115360.0,69,Tienda física,Satisfecho
7631356.0,118122.0,74,Tienda física,Satisfecho
6333343.0,97885.0,72,Tienda física,Insatisfecho
5919313.0,114256.0,63,Página web,Satisfecho
7282777.0,139793.0,56,Página web,Satisfecho
6243224.0,91078.0,68,Tienda física,Insatisfecho
6861734.0,118765.0,56,Aplicación,Satisfecho
7427298.0,132213.0,60,Página web,Muy satisfecho
11375348.0,166847.0,68,Aplicación,Neutral
9686266.0,161564.0,60,Tienda física,Muy satisfecho
5526107.0,107875.0,50,Página web,Satisfecho
8601697.0,143925.0,61,Página web,Satisfecho
9057343.0,114452.0,78,Aplicación,Muy satisfecho
4598856.0,113674.0,52,Teléfono,Neutral
8790077.0,149574.0,58,Tienda física,Neutral
5161814.0,91698.0,56,Tienda física,Satisfecho
6978627.0,130211.0,56,Página web,Muy satisfecho
7176203.0,118785.0,60,Aplicación,Satisfecho
6787899.0,103451.0,66,Tienda física,Satisfecho
10439516.0,153615.0,68,Teléfono,Muy satisfecho
6141134.0,146552.0,44,Aplicación,Neutral
8547328.0,130135.0,65,Aplicación,Satisfecho
7091899.0,122302.0,63,Tienda física,Neutral
13122637.0,214947.0,63,Página web,Insatisfecho
9534077.0,181572.0,56,Aplicación,Neutral
9470225.0,165435.0,62,Página web,Insatisfecho
6781606.0,130276.0,48,Teléfono,Insatisfecho
4848532.0,87089.0,57,Página web,Neutral
5015520.0,108671.0,51,Aplicación,Satisfecho
6567032.0,91610.0,63,Página web,Muy satisfecho
5841176.0,134448.0,46,Aplicación,Muy satisfecho
8304033.0,132292.0,67,Tienda física,Neutral
7609817.0,114843.0,67,Página web,Neutral
10594141.0,143184.0,81,Tienda física,Insatisfecho
5993597.0,121850.0,48,Teléfono,Satisfecho
5348827.0,114402.0,49,Aplicación,Neutral
12622467.0,154193.0,73,Tienda física,Satisfecho
4946430.0,75404.0,64,Tienda física,Neutral
7723812.0,138486.0,58,Tienda física,Neutral
11185337.0,157598.0,66,Teléfono,Neutral
10969007.0,149427.0,68,Aplicación,Satisfecho
10079836.0,162974.0,63,Tienda física,Satisfecho
7231687.0,104427.0,67,Página web,Neutral
7507444.0,121254.0,62,Tienda física,Insatisfecho
5528430.0,87839.0,75,Tienda física,Insatisfecho
7020721.0,96705.0,61,Página web,Neutral
8958910.0,127235.0,62,Aplicación,Muy satisfecho
4735545.0,109690.0,41,Página web,Satisfecho
8486837.0,139424.0,60,Tienda física,Insatisfecho
8003125.0,142315.0,59,Página web,Muy satisfecho
8887264.0,143140.0,56,Tienda física,Neutral
10051247.0,159084.0,57,Aplicación,Neutral
9005742.0,149930.0,66,Tienda física,Satisfecho
4175047.0,90919.0,48,Teléfono,Satisfecho
7193618.0,137271.0,54,Aplicación,Neutral
5548736.0,107199.0,53,Página web,Satisfecho
4499043.0,98752.0,58,Tienda física,Neutral
8140063.0,100692.0,77,Tienda física,Neutral
8814014.0,146720.0,57,Aplicación,Satisfecho
9000271.0,138604.0,61,Aplicación,Neutral
9065276.0,150840.0,56,Aplicación,Neutral
8396980.0,124926.0,68,Tienda física,Satisfecho
8635061.0,155494.0,58,Aplicación,Muy satisfecho
6687514.0,108103.0,64,Tienda física,Neutral
8136592.0,131047.0,65,Página web,Neutral
4979772.0,84268.0,64,Tienda física,Muy satisfecho
8804915.0,129557.0,66,Página web,Neutral
6727443.0,129983.0,52,Aplicación,Satisfecho
5610687.0,104589.0,59,Página web,Satisfecho
7072237.0,104372.0,69,Tienda física,Neutral
8687859.0,139779.0,58,Aplicación,Muy satisfecho
8894945.0,140254.0,62,Tienda física,Satisfecho
5063458.0,96823.0,52,Página web,Satisfecho
6590258.0,125359.0,49,Aplicación,Insatisfecho
4869702.0,94059.0,52,Tienda física,Satisfecho
6288918.0,112431.0,52,Página web,Satisfecho
9201640.0,134821.0,64,Página web,Neutral
