valor_exportado,tiempo_aduana_dias,numero_embarques,region_destino,riesgo_logistico
67840103.0,1.89,6,Latinoamérica,Bajo
54635492.0,1.46,4,Asia,Muy bajo
46289633.0,1.89,4,Europa,Bajo
50817699.0,3.07,9,Europa,Medio
121492138.0,0.66,6,Norteamérica,Muy bajo
45550707.0,2.95,5,Asia,Bajo
132641247.0,2.41,9,Norteamérica,Muy bajo
104101976.0,2.32,4,Norteamérica,Muy bajo
66662182.0,1.86,6,Norteamérica,Muy bajo
45456426.0,3.67,5,Latinoamérica,Medio
111760409.0,3.66,5,Asia,Medio
67113081.0,3.09,5,Norteamérica,Bajo
60416416.0,1.49,3,Norteamérica,Medio
80726889.0,0.61,4,Norteamérica,Muy bajo
30011768.0,1.7,6,Europa,Bajo
73639635.0,4.16,3,Asia,Medio
44819905.0,1.46,7,Norteamérica,Bajo
34423001.0,4.59,7,Norteamérica,Muy bajo
43946886.0,1.43,5,Europa,Bajo
92589420.0,0.84,5,Europa,Bajo
75532316.0,2.13,1,Norteamérica,Muy bajo
66161105.0,2.11,8,Norteamérica,Medio
101743495.0,1.22,8,Europa,Muy bajo
59415024.0,7.51,7,Latinoamérica,Alto
87580388.0,3.58,6,Asia,Bajo
67623291.0,2.67,3,Latinoamérica,Medio
81037643.0,6.28,6,Norteamérica,Medio
66447078.0,5.77,5,Europa,Muy bajo
54182112.0,2.11,3,Latinoamérica,Medio
50174522.0,0.86,6,Latinoamérica,Bajo
199023140.0,2.89,2,Norteamérica,Bajo
91971975.0,1.39,2,Asia,Muy bajo
81415527.0,3.84,4,Europa,Medio
120601704.0,6.3,6,Norteamérica,Medio
76875320.0,4.79,8,Norteamérica,Bajo
152842239.0,3.76,4,Norteamérica,Medio
86382843.0,1.8,5,Norteamérica,Bajo
54153747.0,8.0,3,Europa,Alto
45449628.0,1.23,5,Europa,Bajo
87853404.0,4.37,5,Norteamérica,Medio
65459659.0,0.5,9,Norteamérica,Muy bajo
48685389.0,1.03,3,Latinoamérica,Bajo
144057101.0,0.57,4,Europa,Muy bajo
19277362.0,4.2,7,Latinoamérica,Bajo
94599244.0,1.83,4,Asia,Medio
53125194.0,8.14,1,Norteamérica,Muy alto
39304518.0,1.34,4,Europa,Muy bajo
82356397.0,2.5,3,Norteamérica,Bajo
95184076.0,4.14,2,Norteamérica,Medio
46718326.0,3.13,6,Latinoamérica,Muy bajo
51721836.0,2.27,6,Asia,Bajo
85450118.0,2.01,8,Norteamérica,Bajo
66200885.0,0.5,4,Norteamérica,Muy bajo
86835424.0,2.59,7,Europa,Muy bajo
42660055.0,3.04,6,Norteamérica,Bajo
60878108.0,1.66,6,Asia,Bajo
42774536.0,1.11,4,Latinoamérica,Bajo
59555551.0,1.1,4,Latinoamérica,Bajo
117349841.0,3.19,4,Asia,Medio
49201804.0,3.36,2,Europa,Bajo
112181712.0,1.27,4,Norteamérica,Bajo
81909603.0,1.94,3,Norteamérica,Muy bajo
59162700.0,0.5,6,Norteamérica,Bajo
188793352.0,2.68,6,Asia,Bajo
57716302.0,3.42,8,Asia,Alto
44789754.0,7.71,3,Latinoamérica,Alto
65307326.0,3.09,5,Norteamérica,Medio
59527194.0,2.23,2,Asia,Medio
71530167.0,2.9,1,Norteamérica,Bajo
138984566.0,0.72,5,Europa,Bajo
47153700.0,0.5,4,Latinoamérica,Bajo
46058562.0,1.67,7,Norteamérica,Bajo
79695271.0,0.76,3,Europa,Bajo
73320774.0,1.61,6,Europa,Muy bajo
66294634.0,3.86,5,Asia,Medio
71701376.0,3.81,4,Europa,Muy bajo
145939691.0,1.53,2,Europa,Bajo
29323139.0,3.56,6,Europa,Bajo
50219345.0,2.0,6,Europa,Medio
80104646.0,5.22,7,Europa,Medio
76582686.0,0.5,5,Norteamérica,Muy bajo
102679600.0,6.34,5,Norteamérica,Alto
81366702.0,3.34,8,Europa,Medio
41445351.0,1.05,3,Latinoamérica,Muy bajo
182107628.0,0.57,3,Europa,Muy bajo
127348017.0,4.5,6,Europa,Medio
25207912.0,3.73,5,Latinoamérica,Medio
70174015.0,2.72,3,Norteamérica,Medio
86354535.0,4.77,6,Europa,Bajo
66478151.0,1.34,5,Latinoamérica,Muy bajo
65528454.0,1.31,2,Norteamérica,Muy bajo
135594499.0,1.07,7,Europa,Muy bajo
21473967.0,1.39,6,Norteamérica,Bajo
133494893.0,2.4,8,Norteamérica,Bajo
51960940.0,5.34,11,Latinoamérica,Alto
93368543.0,1.57,2,Europa,Bajo
114773236.0,2.21,8,Asia,Bajo
60302355.0,2.31,4,Europa,Muy bajo
51942956.0,2.26,6,Latinoamérica,Bajo
51856930.0,7.16,3,Asia,Medio
34653484.0,1.47,4,Europa,Bajo
66309669.0,1.56,5,Norteamérica,Muy bajo
73247671.0,1.55,8,Norteamérica,Medio
55866824.0,4.23,8,Asia,Bajo
22253522.0,2.63,5,Latinoamérica,Medio
54142319.0,5.97,1,Europa,Bajo
57428556.0,3.41,4,Latinoamérica,Bajo
76562413.0,0.97,1,Norteamérica,Muy bajo
58283696.0,1.73,6,Norteamérica,Bajo
51261145.0,5.91,3,Latinoamérica,Bajo
45958872.0,4.02,4,Asia,Muy bajo
43947211.0,1.49,7,Norteamérica,Muy bajo
98890777.0,1.37,3,Norteamérica,Bajo
49750611.0,1.49,3,Norteamérica,Bajo
84754904.0,0.85,4,Europa,Muy bajo
30317239.0,3.88,9,Latinoamérica,Bajo
154203708.0,3.13,3,Europa,Bajo
66564999.0,0.5,7,Latinoamérica,Muy bajo
84948330.0,1.0,2,Europa,Muy bajo
71978876.0,4.05,4,Norteamérica,Medio
80372750.0,4.01,7,Asia,Bajo
44221516.0,2.4,1,Europa,Bajo
74473817.0,2.49,6,Europa,Muy bajo
92360520.0,4.14,3,Norteamérica,Muy bajo
135694571.0,11.89,6,Norteamérica,Muy alto
46036776.0,2.37,5,Latinoamérica,Bajo
138074562.0,2.33,8,Norteamérica,Muy bajo
36869153.0,1.01,3,Latinoamérica,Bajo
68040247.0,3.58,6,Asia,Bajo
40770745.0,2.75,7,Latinoamérica,Medio
68750650.0,0.65,5,Norteamérica,Muy bajo
51378410.0,2.22,8,Norteamérica,Medio
70212239.0,2.71,5,Norteamérica,Muy bajo
53686299.0,1.16,3,Norteamérica,Bajo
18975622.0,2.66,6,Latinoamérica,Muy bajo
55209788.0,2.7,8,Europa,Medio
85850429.0,3.49,6,Europa,Bajo
98072980.0,4.07,6,Europa,Medio
101068523.0,3.74,3,Asia,Bajo
57364525.0,0.68,6,Norteamérica,Muy bajo
62017303.0,1.7,6,Europa,Bajo
45414195.0,1.65,2,Latinoamérica,Muy bajo
71057978.0,1.12,5,Europa,Muy bajo
48208259.0,3.81,7,Norteamérica,Alto
69452252.0,5.45,6,Europa,Medio
32257938.0,1.66,2,Latinoamérica,Muy bajo
152805947.0,6.23,2,Europa,Medio
75064955.0,7.65,8,Europa,Alto
50843698.0,2.7,1,Asia,Bajo
69293612.0,3.23,11,Norteamérica,Alto
52197612.0,1.22,5,Europa,Muy bajo
72951333.0,0.99,5,Norteamérica,Muy bajo
