costo_unitario,tiempo_produccion_min,numero_defectos,linea_producto,nivel_calidad
21043.0,47.8,5,Aseo,Alta
24979.0,62.7,5,Alimentos,Alta
14911.0,59.0,10,Aseo,Baja
25265.0,46.4,9,Alimentos,Alta
22578.0,55.0,5,Aseo,Excelente
25643.0,56.6,4,Aseo,Alta
21756.0,35.0,8,Textil,Media
25507.0,70.7,7,Alimentos,Media
20066.0,71.7,5,Aseo,Alta
28438.0,63.2,6,Empaque,Media
23503.0,55.2,5,Alimentos,Alta
23785.0,54.7,3,Empaque,Alta
32006.0,64.6,5,Empaque,Media
25898.0,58.0,5,Alimentos,Alta
28137.0,56.7,4,Empaque,Alta
28631.0,65.8,9,Aseo,Baja
22661.0,41.8,3,Aseo,Excelente
27770.0,66.2,8,Textil,Baja
21244.0,43.1,3,Aseo,Alta
42305.0,58.4,6,Textil,Media
28494.0,61.4,5,Empaque,Media
23796.0,41.6,6,Textil,Media
19074.0,51.8,8,Empaque,Media
24811.0,60.1,8,Empaque,Media
15471.0,56.3,7,Aseo,Media
24547.0,44.9,7,Aseo,Alta
28209.0,45.2,7,Textil,Alta
23315.0,27.2,4,Empaque,Excelente
28634.0,69.5,5,Empaque,Alta
30566.0,60.2,9,Textil,Baja
31938.0,53.0,8,Empaque,Media
22759.0,74.8,3,Alimentos,Alta
19627.0,58.8,7,Aseo,Media
29094.0,59.1,6,Textil,Media
21782.0,52.6,3,Alimentos,Alta
27186.0,43.0,5,Textil,Alta
24404.0,39.2,6,Empaque,Alta
27558.0,40.2,5,Alimentos,Alta
24794.0,54.5,5,Textil,Alta
30330.0,44.9,6,Textil,Alta
21766.0,55.3,8,Textil,Alta
24660.0,42.5,6,Empaque,Alta
21975.0,51.4,6,Empaque,Alta
13298.0,45.7,3,Empaque,Alta
23163.0,52.3,4,Aseo,Alta
17988.0,45.6,1,Aseo,Excelente
24144.0,55.7,7,Empaque,Media
27075.0,45.9,3,Alimentos,Excelente
25978.0,66.1,5,Aseo,Media
21354.0,49.8,3,Aseo,Excelente
24007.0,60.3,8,Empaque,Media
24479.0,49.6,6,Aseo,Alta
12822.0,44.1,6,Alimentos,Alta
20522.0,67.8,3,Empaque,Alta
18071.0,62.2,14,Aseo,Baja
19780.0,39.6,4,Empaque,Excelente
26426.0,47.1,7,Textil,Alta
20248.0,61.5,10,Empaque,Baja
20063.0,36.0,7,Textil,Excelente
26416.0,31.6,7,Empaque,Baja
26515.0,51.5,6,Textil,Alta
15648.0,47.6,7,Empaque,Alta
21141.0,66.1,6,Alimentos,Media
29032.0,68.4,4,Aseo,Excelente
20584.0,66.5,12,Aseo,Baja
30840.0,72.7,14,Empaque,Baja
22387.0,57.4,3,Textil,Alta
20258.0,45.3,3,Empaque,Excelente
21183.0,66.7,7,Aseo,Media
13731.0,47.6,6,Empaque,Alta
21594.0,54.9,6,Alimentos,Media
22274.0,41.5,6,Alimentos,Alta
25785.0,49.7,5,Aseo,Alta
26029.0,52.1,5,Empaque,Alta
26204.0,42.2,7,Empaque,Media
25327.0,55.4,5,Empaque,Media
18816.0,41.0,4,Alimentos,Excelente
23861.0,47.8,2,Aseo,Excelente
32629.0,57.7,8,Textil,Media
22616.0,53.4,7,Empaque,Media
29378.0,51.8,2,Textil,Alta
24458.0,49.0,7,Empaque,Alta
28012.0,56.9,9,Empaque,Media
26593.0,40.1,6,Empaque,Alta
26087.0,30.4,3,Aseo,Excelente
27870.0,60.4,5,Empaque,Alta
25237.0,55.0,6,Aseo,Alta
27486.0,36.7,8,Alimentos,Alta
23401.0,33.0,6,Alimentos,Excelente
23342.0,43.2,3,Aseo,Excelente
14640.0,46.2,1,Aseo,Excelente
23431.0,25.1,3,Alimentos,Excelente
23556.0,58.3,1,Alimentos,Alta
22930.0,51.9,6,Empaque,Media
29408.0,49.0,10,Empaque,Media
26667.0,59.9,7,Textil,Media
21927.0,61.6,6,Alimentos,Alta
25887.0,63.4,6,Alimentos,Alta
23443.0,50.1,9,Aseo,Media
28799.0,37.2,7,Textil,Media
22435.0,23.0,4,Empaque,Excelente
23843.0,56.7,4,Textil,Media
19186.0,45.4,5,Alimentos,Alta
25127.0,42.5,4,Empaque,Alta
31438.0,55.8,7,Alimentos,Media
25455.0,36.0,3,Textil,Excelente
17144.0,48.5,9,Textil,Baja
23921.0,52.3,5,Alimentos,Alta
25125.0,53.8,5,Aseo,Alta
19855.0,54.3,7,Alimentos,Media
18409.0,63.7,4,Empaque,Alta
19210.0,46.6,6,Alimentos,Alta
24731.0,54.7,7,Alimentos,Media
25921.0,52.7,11,Alimentos,Baja
21370.0,56.9,4,Alimentos,Alta
16252.0,47.6,5,Empaque,Alta
32377.0,51.7,6,Empaque,Media
26687.0,36.0,2,Aseo,Excelente
23952.0,33.8,4,Empaque,Excelente
26279.0,49.6,4,Empaque,Excelente
13735.0,58.9,4,Aseo,Media
21784.0,60.3,3,Alimentos,Excelente
27170.0,55.5,10,Aseo,Baja
26551.0,50.3,8,Empaque,Media
26756.0,57.1,5,Alimentos,Media
23308.0,56.3,8,Empaque,Media
20214.0,42.4,1,Alimentos,Excelente
23090.0,54.9,7,Textil,Alta
19795.0,59.1,1,Aseo,Excelente
22487.0,46.0,4,Aseo,Alta
19483.0,51.4,5,Alimentos,Alta
21384.0,45.1,6,Alimentos,Excelente
25781.0,45.7,10,Alimentos,Media
26334.0,41.1,2,Aseo,Excelente
23881.0,28.8,4,Alimentos,Excelente
24394.0,60.4,7,Aseo,Alta
28946.0,37.9,6,Alimentos,Alta
24909.0,43.9,11,Alimentos,Baja
27526.0,63.8,5,Alimentos,Media
26331.0,61.1,4,Alimentos,Alta
23941.0,46.3,4,Empaque,Alta
31914.0,61.9,4,Alimentos,Alta
