salario_mensual,horas_capacitacion,numero_ausencias,area_trabajo,nivel_desempeno
3506211.0,10.5,1,Talento humano,Básico
3314363.0,12.5,3,Ventas,Básico
3546333.0,6.4,1,Ventas,Bueno
3092173.0,23.9,0,Operaciones,Bueno
3958260.0,12.7,1,Ventas,Sobresaliente
2327275.0,2.0,0,Operaciones,Básico
3911135.0,26.7,0,Operaciones,Bueno
4733542.0,11.4,2,Operaciones,Básico
3620758.0,11.2,0,Talento humano,Básico
3725421.0,8.4,2,Finanzas,Deficiente
3755829.0,11.3,0,Talento humano,Básico
3385466.0,8.8,0,Operaciones,Básico
2957993.0,1.8,1,Operaciones,Básico
3286150.0,16.2,4,Ventas,Deficiente
4403193.0,9.2,1,Finanzas,Bueno
3400023.0,8.2,3,Operaciones,Básico
3278295.0,19.2,1,Operaciones,Bueno
3525984.0,13.9,0,Operaciones,Bueno
3489515.0,4.5,1,Ventas,Deficiente
3098185.0,3.2,0,Ventas,Bueno
3110713.0,21.6,1,Finanzas,Bueno
1957287.0,11.5,1,Operaciones,Bueno
3108472.0,3.5,3,Operaciones,Bueno
2441623.0,10.2,2,Operaciones,Bueno
4158309.0,5.0,2,Ventas,Deficiente
6816221.0,19.1,0,Tecnología,Sobresaliente
2978446.0,9.9,2,Operaciones,Básico
2507747.0,8.0,4,Operaciones,Bueno
3070967.0,40.5,1,Talento humano,Bueno
4942928.0,7.0,2,Tecnología,Básico
4786098.0,9.5,0,Tecnología,Bueno
4119976.0,6.9,4,Talento humano,Deficiente
2948967.0,4.0,2,Ventas,Básico
2316401.0,13.6,6,Ventas,Básico
5188703.0,8.3,2,Tecnología,Bueno
2825587.0,5.9,3,Ventas,Deficiente
2614207.0,9.1,0,Ventas,Básico
2825766.0,14.3,4,Ventas,Deficiente
2541705.0,13.0,1,Operaciones,Básico
5233426.0,9.4,1,Ventas,Bueno
4482431.0,11.1,2,Tecnología,Deficiente
3216845.0,3.6,1,Operaciones,Básico
5056920.0,12.7,2,Finanzas,Deficiente
2276727.0,7.7,2,Ventas,Bueno
1512505.0,6.1,3,Ventas,Básico
2771726.0,2.3,1,Ventas,Bueno
2675053.0,6.3,0,Ventas,Bueno
2466843.0,7.5,0,Ventas,Bueno
3352603.0,5.0,1,Ventas,Básico
2766928.0,13.5,2,Ventas,Básico
2199085.0,6.2,2,Operaciones,Deficiente
3149851.0,11.4,3,Talento humano,Básico
4036160.0,14.6,1,Ventas,Bueno
2478290.0,3.7,1,Operaciones,Bueno
3178215.0,25.0,1,Operaciones,Sobresaliente
3565035.0,1.5,0,Ventas,Básico
3358572.0,22.6,3,Finanzas,Bueno
2325513.0,8.5,0,Operaciones,Básico
4694703.0,12.4,4,Tecnología,Deficiente
2969055.0,10.6,0,Ventas,Bueno
5144701.0,9.0,0,Finanzas,Bueno
4554329.0,8.8,2,Finanzas,Bueno
2700531.0,19.3,2,Ventas,Bueno
5331561.0,9.2,1,Finanzas,Básico
5143680.0,18.4,2,Tecnología,Básico
3314711.0,23.2,2,Ventas,Bueno
4307822.0,7.2,1,Finanzas,Bueno
2560538.0,24.7,1,Operaciones,Sobresaliente
1878030.0,10.1,2,Ventas,Básico
4598619.0,3.3,1,Ventas,Bueno
6449527.0,8.9,2,Tecnología,Básico
3633205.0,15.1,2,Operaciones,Básico
7130130.0,19.4,2,Tecnología,Bueno
1798851.0,6.6,0,Operaciones,Bueno
4376562.0,2.0,2,Tecnología,Deficiente
3391891.0,16.9,0,Operaciones,Sobresaliente
7317963.0,23.0,3,Tecnología,Básico
4223116.0,11.3,0,Operaciones,Básico
3763107.0,7.9,0,Talento humano,Básico
2280406.0,6.1,1,Operaciones,Básico
2967323.0,12.1,1,Tecnología,Básico
2561693.0,12.2,1,Ventas,Bueno
2146145.0,7.1,0,Ventas,Bueno
3625053.0,1.9,0,Finanzas,Básico
3118548.0,20.7,3,Operaciones,Sobresaliente
4809122.0,8.8,1,Finanzas,Básico
