monto_credito,tasa_interes_anual,cuotas_atrasadas,tipo_cliente,riesgo_crediticio
20297542.0,18.22,3,Empleado,Muy alto
23079747.0,16.51,0,Empleado,Bajo
25904916.0,27.67,0,Empleado,Medio
19645852.0,19.83,3,Empleado,Muy alto
12787400.0,22.98,2,Empleado,Alto
8946913.0,22.42,3,Independiente,Alto
22574559.0,27.94,0,Empleado,Medio
19899732.0,19.35,0,Microempresario,Muy bajo
14245429.0,15.29,0,Empleado,Muy bajo
16084736.0,19.74,0,Empleado,Bajo
20347706.0,21.27,2,Empleado,Alto
28415952.0,27.81,0,Microempresario,Medio
35474951.0,19.25,1,Empleado,Muy bajo
3436731.0,22.14,1,Microempresario,Bajo
